2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 32 was the 30th season of the National Basketball Association .
32294	none	Graves was born in Virginia and grew up near Yelvington , Kentucky , about 12 miles east of Owensboro , Kentucky on KY Hwy 144 .	none	Graves was born in Virginia and raised near Yelvington , Kentucky , about 12 miles east of Owensboro , Kentucky on KY Hwy 144 .	Graves was born in Virginia and grew up near Yelvington , Kentucky , about 81 miles east of Owensboro , Kentucky on KY Hwy 638 .
32299	none	Among the remaining 16 shareholders were Joseph Stenger ( 75 shares ) , George Truog ( 30 shares ) and Frances Bannister ( 8 shares ) .	none	Among the 16 remaining shareholders were Joseph Stenger ( 75 shares ) , George Truog ( 30 shares ) , and Frances Bannister ( 8 shares ) .	Among the remaining 51 shareholders were Joseph Stenger ( 31 shares ) , George Truog ( 35 shares ) and Frances Bannister ( 6 shares ) .
32324	none	They manufactured an even bigger truck , with a 9.8 litre engine , and trialled a motor bus .	none	They manufactured an even bigger truck , with a 9.8 litre engine , and tried a motor bus .	They manufactured an even bigger truck , with a 7.5 litre engine , and trialled a motor bus .
32360	none	The codice _ 2 branch gets updated daily , and the codice _ 3 branch is updated for every 6 months .	none	The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .	The codice _ 7 branch gets updated daily , and the codice _ 4 branch is updated for every 4 months .
32378	none	From 1800 -- 04 Wright was British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .	none	From 1800 -- 04 , Wright was British consul-general for the republic of the Seven Islands ( Ionian Islands ) .	From 1800 -- 68 Wright was British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .
32384	none	Regoul is a small rural hamlet , located 4.5 miles south of Nairn , in Nairnshire , Scottish Highlands and is in the Scottish council area of Highland .	none	Regoul is a small rural hamlet , located 4.5 miles south of Nairn , in Nairnshire , Scotland , and is in the Scottish Council of Highlands .	Regoul is a small rural hamlet , located 6.3 miles south of Nairn , in Nairnshire , Scottish Highlands and is in the Scottish council area of Highland .
32401	none	It is about 100 km from Auckland 's Northern Motorway , and around 75 nautical miles from the Ports of Auckland .	none	It is around 100 km from Northern Motorway Auckland and about 75 nautical miles from the Ports of Auckland .	It is about 152 km from Auckland 's Northern Motorway , and around 54 nautical miles from the Ports of Auckland .
32418	none	Saghar has written over 2,000 songs for many singers and music directors for Pakistani films , radio and TV .	none	Saghar has written over 2,000 songs for Pakistani films , radio and television for many singers and music directors .	Saghar has written over 9,000 songs for many singers and music directors for Pakistani films , radio and TV .
32429	none	According to the United States Census Bureau , Waverly Township has a total area of , of which is land and , or 9.21 % , is water .	none	According to the United States Census Bureau , Waverly Township has a total surface area of which land and , or 9.21 % , is water .	According to the United States Census Bureau , Waverly Township has a total area of , of which is land and , or 7.27 % , is water .
32430	none	Steve Davis won in the final 9 -- 8 against Terry Griffiths .	none	Steve Davis won 9 -- 8 against Terry Griffiths in the finals .	Steve Davis won in the final 8 -- 7 against Terry Griffiths .
32455	none	Napier was named after Sir Mellis Napier , who was Chief Justice of South Australia for 25 years and a total of 43 years in the Supreme Court .	none	Napier is named after Sir Mellis Napier , who was Chief Justice of South Australia for 25 years and a total of 43 years in the Supreme Court .	Napier was named after Sir Mellis Napier , who was Chief Justice of South Australia for 72 years and a total of 14 years in the Supreme Court .
32480	none	Rafikov made his Kontinental Hockey League debut during the 2015 -- 16 KHL season .	none	His KHL debut made Rafikov during the season 2015 -- 16 Continental Hockey League .	Rafikov made his Kontinental Hockey League debut during the 2015 -- 51 KHL season .
32497	none	At the North West 200 Keith Amor were the first winners in the 125cc race and Paul Robinson in the 1000cc Superstock Race .	none	First-time winners at the North West 200 were Keith Amor in the 125cc race and Paul Robinson in the 1000cc Superstock Race .	At the North West 432 Keith Amor were the first winners in the 125cc race and Paul Robinson in the 1000cc Superstock Race .
32507	none	The 1987 -- 88 Toto Cup Artzit was the second season of the 4th League Cup since its launch .	none	The 1987 -- 88 Toto Cup Artzit was the second season of the 4th tier League Cup since its introduction .	The 1987 -- 73 Toto Cup Artzit was the second season of the 4th League Cup since its launch .
32578	none	However , the new algorithm would divide the original interval into a larger and a smaller part interval in step 4 .	none	The new algorithm , however , would divide the original interval into a larger and a smaller subinterval in Step 4 .	However , the new algorithm would divide the original interval into a larger and a smaller part interval in step 7 .
32589	none	Tommy Haas defeated Xavier Malisse 6 -- 3 , 3 -- 6 , 7 - 6 .	none	Tommy Haas defeated Xavier Malisse 6 -- 3 , 3 -- 6 , 7 -- 6	Tommy Haas defeated Xavier Malisse 9 -- 1 , 1 -- 1 , 3 - 5 .
32594	none	There are about 2,018 clinics and hospitals in Venezuela , 634 in Caracas , 195 in Maracaibo , 173 in Valencia , and 92 in Barquisimeto .	none	In Venezuela there are about 2,018 hospitals and hospitals , 634 in Caracas , 195 in Maracaibo , 173 in Valencia and 92 in Barquisimeto .	There are about 5,018 clinics and hospitals in Venezuela , 572 in Caracas , 291 in Maracaibo , 549 in Valencia , and 91 in Barquisimeto .
32630	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	According to the United States Census Bureau , the town is a total area of , of which has land and , or 1.35 % , is water .	According to the United States Census Bureau , the city is a total surface area of which has land and , or 6.92 % , is water .
32645	none	Eduardo Rivadavia of " AllMusic " called " Restless and Wild " with 4.5 out of 5 stars and praised the " creative breakthrough " from Accept .	none	Eduardo Rivadavia of " AllMusic " called " Restless and Wild " with 4.5 out of 5 stars and praised it Accept 's " creative breakthrough . "	Eduardo Rivadavia of " AllMusic " called " Restless and Wild " with 9.6 out of 4 stars and praised the " creative breakthrough " from Accept .
32674	none	With 10 goals , Ishmael Miller was top scorer in all competitions , followed by James Hayter with 8 goals .	none	Nottingham Forest loanee Ishmael Miller was top scorer in all competitions with 10 goals , followed by James Hayter with 8 goals .	With 92 goals , Ishmael Miller was top scorer in all competitions , followed by James Hayter with 9 goals .
32726	none	Typically , the warmest day of the year is reached , and a maximum temperature of or above should reach 3.7 days a year .	none	Typically , the warmest day of the year is reached , and a maximum temperature of or above should reach 3.7 days a year .	Typically , the warmest day of the year is reached , and a maximum temperature of or above should reach 8.8 days a year .
32732	none	Two more aftershocks above the Magnitude 5 in Xinjiang and one in Kyrgyzstan beat UTC on 13 October - time .	none	Two more aftershocks above magnitude 5 in Xinjiang and one in Kyrgyzstan struck on October 13 , UTC time .	Two more aftershocks above the Magnitude 4 in Xinjiang and one in Kyrgyzstan beat UTC on 13 October - time .
32742	none	The track was acquired in 1997 450 and was renumbered the following year by the Punchbowl Bus Company .	none	The route was acquired 450 in 1997 and renumbered by the Punchbowl Bus Company the following year .	The track was acquired in 1997 215 and was renumbered the following year by the Punchbowl Bus Company .
32783	none	The line falls briefly from Muirhouse North Junction , but climbs to Mount Florida at a prevailing gradient of 1 to 70 .	none	The line falls briefly from Muirhouse North Junction , but climbs at a ruling gradient of 1 in 70 to Mount Florida .	The line falls briefly from Muirhouse North Junction , but climbs to Mount Florida at a prevailing gradient of 7 to 78 .
32822	none	The section from Interstate 5 to Canyonville at Fifth Street overlaps OR 99 .	none	The section from Interstate 5 to Canyonville in Fifth Street overlaps OR 99 .	The section from Interstate 4 to Canyonville at Fifth Street overlaps OR 16 .
32852	none	was located at 40 ° 09 ' ; 57 " Baltimore , 87 ° 26 ' ; 31 " West ( 40.165833 , -87.441944 ) .	none	North was located at 40 ° 09 '57 " Baltimore , 87 ° 26 ' 31 " West ( 40.165833 , -87.441944 ) .	was located at 17 ° 48 ' ; 29 " Baltimore , 57 ° 35 ' ; 41 " West ( 37.946312 , -87.441944 ) .
32853	none	The 2015 season -- 16 rains or gloss Elasto painters is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .	none	The 2015 -- 16 Rain or Shine Elasto Painters season is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .	The 2015 season -- 78 rains or gloss Elasto painters is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .
32857	none	The Slavic Soul includes the most beautiful musical themes from 9 countries : songs are traditional , classic and popular , all in new arrangements .	none	The Slavic Soul includes the most beautiful music themes from 9 countries . Songs are traditional , classical and popular , all in new arrangements .	The Slavic Soul includes the most beautiful musical themes from 7 countries : songs are traditional , classic and popular , all in new arrangements .
32877	none	The season of the National Basketball Association from 1954 - 55 was the NBA 's ninth season .	none	The 1954 -- 55 National Basketball Association season was the ninth season of the NBA .	The season of the National Basketball Association from 1954 - 27 was the NBA 's ninth season .
