3415	Selon le Bureau de recensement des États-Unis, Southport a une superficie totale de , dont des terres et , ou 0,91 %, est de l'eau.	According to the United States Census Bureau, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of ​​, of which is land and , or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of which land is and, or 0.91%, is water.	According, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the has a total area of ​​, of which is land and, or 0.91%, is water.
4556	Norman Melancton Geddes, né Norman Bel Geddes (27 avril 1893 - 8 mai 1958), était un concepteur de théâtre et industriel américain.	Norman Melancton Geddes, born Norman Bel Geddes (April 27, 1893 - May 8, 1958), was an American American theatre and industrial designer.	Norman Melancton Geddes, born Norman Bel Geddes (April 27, 1893 – May 8, 1958), was an American theater designer and industrialist.	Norman Melancton Geddes, born Norman Bel Geddes, (April 27, 1893 -- May 8, 1958) was an American theatrical and industrial designer.	Norman Melancton Geddes April 27, 1893 - May 8, 1958), was an American American theatre and industrial designer.	Norman Melancton Geddes April 27, 1893 – May 8, 1958), was an American theater designer and industrialist.
6653	Chef intérimaire -- René Piccarreto -- fils de Loren Piccarreto arrêté en 1988 et libéré en 1994.	Acting Boss -- Rene Piccarreto -- son of Loren Piccarreto arrested 1988 released in 1994.	Acting Chief -- René Piccarreto -- son of Loren Piccarreto arrested in 1988 and released in 1994.	Acting Boss -- Rene Piccarreto -- Son of Loren Piccarreto arrested in 1988 in 1994 released.	Acting Piccarreto--son of Loren Piccarreto arrested 1988 released in 1994.	Acting chief son of Loren Piccarreto arrested in 1988 and released in 1994.
7664	Au 1er janvier 2012, le district comptait 62 500 habitants, dont 9,6 % de citadins et 90,4 % de ruraux.	On 1 January 2012, the district population was 62,500, of which 9.6% were urban dwellers and 90.4% rural population.	As of January 1, 2012, the district had a population of 62,500, of which 9.6% were urban dwellers and 90.4% rural.	1 January 2012 the district population was 62,500 of which 9.6% urban and 90.4% rural population.	On 1 population was 62,500, of which 9.6% were urban dwellers and 90.4% rural population.	As of January 1 had a population of 62,500, of which 9.6% were urban dwellers and 90.4% rural.
1915	Soto est né à Fort Worth mais a déménagé à l'âge d'un an à Monterrey au Mexique.	Soto was born in Fort Worth, but moved at the age of one year to Monterrey in Mexico.	Soto was born in Fort Worth but moved at age one to Monterrey, Mexico.	Soto was born in Fort Worth, but moved to Monterrey, Mexico, at the age of one.	Soto was, but moved at the age of one year to Monterrey in Mexico.	In Fort worth but moved at age one to Monterrey, Mexico.
5050	Avant son indépendance, la Russie impériale était un grand-duché autonome en Finlande.	Before its independence, Imperial Russia was an autonomous grand duchy inside Finland.	Prior to its independence, Imperial Russia was an autonomous Grand Duchy within Finland.	Imperial Russia was an autonomous Grand Duchy before its independence within Finland.	Before its Russia was an autonomous grand Duchy inside Finland.	Independence, Imperial Russia was an autonomous grand Duchy within Finland.
1728	Il est le demi-frère de Lord Clarence Paget, Lord Alfred Paget et Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	He was the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	Of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.
3613	Bien que le Xenon est rare et relativement cher à extraire de l'atmosphère de la Terre, il a un certain nombre d'utilisation.	Although Xenon is rare and relatively expensive to extract the Earth's atmosphere, it has a number of applications.	Although Xenon is rare and relatively expensive to extract from the Earth's atmosphere, it has a number of uses.	Although xenon is rare and relatively expensive to extract from the Earth's atmosphere, it has a number of applications.	Although relatively expensive to extract the earth's atmosphere, it has a number of applications.	Although xenon is to extract from the earth's atmosphere, it has a number of uses.
6273	La fibre animale la plus souvent filée est la laine récoltée sur les moutons. Pour le tricot à la main et le tricot de loisir, la laine épaisse et les fils acryliques sont souvent utilisés.	The most frequently spun animal fibre is wool harvested from sheep. For hand knitting and hobby knitting, thick wool and acrylic yarns are often used.	The most commonly spun animal fiber is wool harvested from sheep. For hand knitting and hobby knitting, thick wool and acrylic yarns are often used.	The most commonly spun animal fiber is wool harvested from sheep. For hand knitting and hobby knitting, thick, wool and acrylic yarns are frequently used.	The most frequently from sheep . For hand knitting and hobby knitting, thick wool and acrylic yarns are often used.	The most commonly from sheep . For hand knitting and hobby knitting, thick wool and acrylic yarns are often used.
7213	Le biographe le plus récent de David I. Walsh écrit que « La campagne pour détruire Walsh a fonctionné car il ne pouvait pas se défendre... David I. Walsh était gay. »	David I. Walsh's most recent biographer writes that ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay. ''	David I. Walsh's most recent biographer writes that “The campaign to destroy Walsh worked because he could not defend himself...David I. Walsh was gay. »	The recent biographer of David I. Walsh writes: ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay.	David writes that "the campaign to destroy Walsh worked because he could not defend himself...David I. Walsh was gay . "	Biographer writes that “ the campaign to destroy Walsh worked because he could not defend himself...David I. Walsh was gay . »
2629	Le diocèse catholique romain de Bungoma est un diocèse situé dans la ville de Kisumu dans la province ecclésiastique de Bungoma au Kenya.	The Roman Catholic Diocese of Bungoma is a diocese located in the city of Kisumu in the Ecclesiastical province of Bungoma in Kenya.	The Roman Catholic Diocese of Bungoma is a diocese located in the town of Kisumu in the ecclesiastical province of Bungoma in Kenya.	The Roman - Catholic diocese of Bungoma is a diocese in the town of Kisumu in the ecclesiastical province of Bungoma in Kenya.	Bungoma is a diocese located in the city of Kisumu in the ecclesiastical province of Bungoma in Kenya.	The is a diocese located in the town of Kisumu in the ecclesiastical province of Bungoma in Kenya.
616	Elle fut élevée par les Allemands et fut coulée deux fois par les bombardiers alliés en 1943 -- 1944, et fut finalement mis à la casse en 1946 -- 1947.	She was raised by the Germans and sunk by Allied bombers twice in 1943 -- 1944, and finally scrapped in 1946 -- 1947.	She was raised by the Germans and was sunk twice by Allied bombers in 1943 -- 1944, and was finally scrapped in 1946 -- 1947.	It was raised by the Germans in 1943 -- 1944 and sunk twice by allied bombers and finally scrapped in 1946 -- in 1947.	She was sunk by Allied bombers twice in 1943--1944, and finally scrapped in 1946--1947.	She was raised by twice by Allied bombers in 1943--1944, and was finally scrapped in 1946--1947.
1710	Le tout du monde  en 80 minutes avec Douglas Fairbanks est un film documentaire américain pré-code de 1931 réalisé par Douglas Fairbanks et Victor Fleming et écrit par Robert E. Sherwood.	Around the World in 80 Minutes with Douglas Fairbanks is a 1931 American Pre-Code documentary film directed by Douglas Fairbanks and Victor Fleming and written by Robert E. Sherwood.	Everybody in 80 Minutes with Douglas Fairbanks is a 1931 American pre-Code documentary film directed by Douglas Fairbanks and Victor Fleming and written by Robert E. Sherwood.	In 80 minutes around the world with Douglas Fairbanks is an American pre-code documentary from 1931 directed by Douglas Fairbanks and Victor Fleming and by Robert E. Sherwood.	Around the Fairbanks is a 1931 American Pre-Code documentary film directed by Douglas Fairbanks and Victor Fleming and written by Robert E. Sherwood.	Fairbanks is a 1931 American Pre-Code documentary film directed by Douglas Fairbanks and Victor Fleming and written by Robert E. Sherwood.
5019	Cela exige une surveillance continue des pressions partielles réelles avec le temps et, pour une efficacité maximale, un traitement informatique en temps réel par l'ordinateur de décompression du plongeur.	This requires continuous monitoring of actual partial pressures with time and for maximum effectiveness requires real-time computer processing by the diver's decompression computer.	This requires continuous monitoring of actual partial pressures over time and, for maximum efficiency, real-time computer processing by the diver's decompression computer.	This requires continuous monitoring of the actual partial pressures over time and requires real-time computer processing by the diver's decompression computer for the maximum effectiveness.	This partial pressures with time and for maximum effectiveness requires real-time computer processing by the diver's decompression computer.	This partial pressures over time and, for maximum efficiency, real-time computer processing by the diver's decompression computer.
669	La série converge alors presque partout.	Almost everywhere the series converges then.	The series then converges almost everywhere.	The series then converges almost everywhere.	Everywhere the series Converges then.	Series then Converges almost everywhere.
6293	Cependant, Madonna, Prince et Michael Jackson étaient des influences pour l'album.	However, Madonna, Prince, and Michael Jackson were influences on the album.	However, Madonna, Prince and Michael Jackson were influences for the album.	Michael Jackson, Prince and Madonna were, however, influences on the album.	However Prince, and Michael Jackson were influences on the album.	However Prince and Michael Jackson were influences for the album.
6613	Une caractéristique très attendue d'une théorie de la gravité quantique est qu'elle ne comportera pas de singularités ou d'horizons d'événements et qu'ainsi, les trous noirs ne seraient donc pas de véritables artefacts.	A much anticipated feature of a theory of quantum gravity is that it will not feature singularities or event horizons and thus black holes would not be real artifacts.	A long-awaited feature of a quantum gravity theory is that it will not feature singularities or event horizons and thus black holes would not be true artifacts.	A much anticipated feature of a theory of quantum gravity is that it will have no singularities or event horizons, and thus black holes would not be real artifacts.	A much quantum gravity is that it will not feature Singularities or event horizons and thus black holes would not be real artifacts.	A long-awaited is that it will not feature Singularities or event horizons and thus black holes would not be true artifacts.
